,Member_number,Date,itemDescription,quantidade,price
0,1808,21-07-2015,fruta tropical,3,106.36
1,2552,05-01-2015,leite inteiro,1,71.62
2,1187,12-12-2015,outros vegetais,8,256.86
3,3037,01-02-2015,leite inteiro,5,13.23
4,4941,14-02-2015,pãezinhos / pãezinhos,3,11.03
5,4501,08-05-2015,outros vegetais,8,6.36
6,2762,20-03-2015,leite inteiro,3,97.18
7,4119,12-02-2015,fruta tropical,9,50.47
8,1340,24-02-2015,citrino,1,70.71
9,1905,07-07-2015,outros vegetais,1,223.42
10,2867,12-11-2015,leite inteiro,0,140.10
11,3962,18-09-2015,fruta tropical,7,166.72
12,1088,30-11-2015,fruta tropical,8,109.50
13,4976,17-07-2015,água engarrafada,4,125.85
14,4056,12-06-2015,iogurte,7,156.21
15,3611,13-02-2015,salsicha,6,51.25
16,1420,14-01-2015,outros vegetais,5,151.15
17,4918,27-01-2015,iogurte,9,26.21
18,3709,26-10-2015,vegetais de raiz,8,24.91
19,2900,11-04-2015,pastelaria,5,255.59
20,1495,09-01-2015,vegetais de raiz,4,223.80
21,3558,03-04-2015,citrino,8,200.06
22,3128,20-04-2015,salsicha,6,31.40
23,1863,04-08-2015,fruta tropical,4,241.84
24,1120,26-09-2015,pastelaria,1,80.70
25,2676,15-08-2015,pãezinhos / pãezinhos,9,120.92
26,2507,25-08-2015,vegetais de raiz,6,142.07
27,4620,11-03-2015,salsicha,3,226.92
28,1061,05-09-2015,leite inteiro,3,36.98
29,3276,03-04-2015,leite inteiro,8,81.09
30,3023,28-07-2015,pãezinhos / pãezinhos,6,203.05
31,3552,16-06-2015,pãezinhos / pãezinhos,8,139.08
32,1967,20-01-2015,outros vegetais,4,213.04
33,4708,20-03-2015,salsicha,6,247.03
34,2874,15-02-2015,salsicha,2,60.20
35,1663,07-02-2015,pãezinhos / pãezinhos,4,27.51
36,2632,02-03-2015,leite inteiro,8,87.58
37,2270,01-07-2015,salsicha,7,250.27
38,4829,03-11-2015,fruta tropical,9,34.90
39,4766,29-09-2015,leite inteiro,8,9.08
40,3860,05-05-2015,leite inteiro,3,197.47
41,1587,01-07-2015,outros vegetais,2,130.00
42,4038,08-07-2015,citrino,8,237.30
43,3894,13-12-2015,vegetais de raiz,2,75.90
44,1456,18-09-2015,vegetais de raiz,7,75.90
45,2505,30-11-2015,água engarrafada,5,139.47
46,4851,20-12-2015,salsicha,6,97.96
47,1202,22-07-2015,refrigerante,3,166.33
48,4155,26-01-2015,citrino,9,222.51
49,2560,17-05-2015,salsicha,6,195.78
50,2555,23-12-2015,leite inteiro,0,115.47
51,3645,12-12-2015,citrino,6,245.21
52,3886,11-09-2015,refrigerante,5,87.19
53,2932,20-03-2015,salsicha,1,210.70
54,4291,08-12-2015,salsicha,0,114.15
55,1143,25-04-2015,refrigerante,4,241.97
56,4564,08-07-2015,pãezinhos / pãezinhos,8,91.34
57,4931,04-05-2015,leite inteiro,1,234.83
58,4581,03-04-2015,fruta tropical,6,228.61
59,2990,23-05-2015,leite inteiro,5,93.93
60,4555,07-11-2015,citrino,2,226.92
61,3635,04-09-2015,fruta tropical,0,184.75
62,1306,23-06-2015,leite inteiro,6,237.30
63,4591,15-05-2015,pastelaria,3,45.28
64,3169,14-06-2015,outros vegetais,8,188.00
65,1971,18-09-2015,salsicha,4,115.34
66,2489,04-05-2015,leite inteiro,1,116.74
67,1279,06-09-2015,fruta tropical,4,258.45
68,2581,22-08-2015,refrigerante,9,177.10
69,2295,25-02-2015,pãezinhos / pãezinhos,2,225.72
70,3987,19-08-2015,outros vegetais,6,34.25
71,4106,25-08-2015,leite inteiro,1,102.50
72,4338,24-06-2015,leite inteiro,7,227.05
73,4166,06-11-2015,citrino,4,242.62
74,4747,08-06-2015,outros vegetais,1,183.20
75,3028,09-06-2015,salsicha,9,92.77
76,2851,16-03-2015,pãezinhos / pãezinhos,1,45.28
77,3822,07-03-2015,vegetais de raiz,5,240.28
78,4554,27-08-2015,leite inteiro,8,114.15
79,3361,05-03-2015,fruta tropical,4,119.34
80,2614,25-06-2015,leite inteiro,0,260.00
81,3567,04-10-2015,fruta tropical,1,143.88
82,1514,24-08-2015,leite inteiro,5,41.78
83,1313,25-12-2015,outros vegetais,2,78.10
84,2359,09-04-2015,outros vegetais,9,66.43
85,1152,05-03-2015,leite inteiro,4,234.05
86,4559,16-03-2015,leite inteiro,2,144.66
87,1709,22-04-2015,salsicha,5,109.63
88,2219,17-04-2015,outros vegetais,8,156.34
89,1752,06-04-2015,outros vegetais,6,152.45
90,3942,10-11-2015,outros vegetais,7,1.30
91,3296,17-08-2015,refrigerante,7,61.24
92,2001,21-08-2015,pãezinhos / pãezinhos,2,103.14
93,2764,24-07-2015,outros vegetais,7,139.08
94,3390,14-11-2015,refrigerante,3,224.45
95,2760,07-01-2015,salsicha,2,6.49
96,3768,07-10-2015,leite inteiro,8,45.67
97,1232,21-01-2015,pãezinhos / pãezinhos,0,175.80
98,1107,01-10-2015,citrino,2,50.86
99,2958,14-06-2015,pãezinhos / pãezinhos,0,195.78
100,2943,20-06-2015,salsicha,5,234.18
101,2270,11-08-2015,leite inteiro,9,184.49
102,3812,21-07-2015,salsicha,9,47.87
103,1344,04-09-2015,água engarrafada,4,228.86
104,4487,10-07-2015,salsicha,4,162.44
105,2443,15-11-2015,salsicha,1,208.11
106,1674,04-12-2015,salsicha,2,260.13
107,4509,29-11-2015,fruta tropical,8,55.66
108,4891,05-09-2015,leite inteiro,6,254.55
109,3962,20-09-2015,salsicha,2,208.24
110,2808,05-05-2015,vegetais de raiz,1,92.12
111,1085,15-08-2015,vegetais de raiz,6,38.27
112,3808,18-08-2015,leite inteiro,6,73.82
113,4149,07-01-2015,citrino,9,120.01
114,2331,05-06-2015,citrino,0,167.24
115,4475,03-04-2015,outros vegetais,1,184.21
116,2761,25-04-2015,citrino,9,171.52
117,2620,14-12-2015,salsicha,0,218.23
118,4387,08-05-2015,leite inteiro,1,170.61
119,1555,27-03-2015,pãezinhos / pãezinhos,6,132.60
120,1181,16-11-2015,salsicha,1,156.86
121,4667,12-01-2015,vegetais de raiz,9,66.43
122,2235,25-10-2015,refrigerante,1,127.67
123,2353,02-05-2015,refrigerante,1,9.34
124,3449,08-03-2015,salsicha,8,47.36
125,1058,10-11-2015,vegetais de raiz,1,100.55
