Member_number,Date,itemDescription,quantidade,price
1808,21-07-2015,tropical fruit,3,40.99
2552,05-01-2015,whole milk,1,27.60
1187,12-12-2015,other vegetables,8,98.99
3037,01-02-2015,whole milk,5,5.10
4941,14-02-2015,rolls/buns,3,4.25
4501,08-05-2015,other vegetables,8,2.45
2762,20-03-2015,whole milk,3,37.45
4119,12-02-2015,tropical fruit,9,19.45
1340,24-02-2015,citrus fruit,1,27.25
1905,07-07-2015,other vegetables,1,86.10
2867,12-11-2015,whole milk,0,53.99
3962,18-09-2015,tropical fruit,7,64.25
1088,30-11-2015,tropical fruit,8,42.20
4976,17-07-2015,bottled water,4,48.50
4056,12-06-2015,yogurt,7,60.20
3611,13-02-2015,sausage,6,19.75
1420,14-01-2015,other vegetables,5,58.25
4918,27-01-2015,yogurt,9,10.10
3709,26-10-2015,root vegetables,8,9.60
2900,11-04-2015,pastry,5,98.50
1495,09-01-2015,root vegetables,4,86.25
3558,03-04-2015,citrus fruit,8,77.10
3128,20-04-2015,sausage,6,12.10
1863,04-08-2015,tropical fruit,4,93.20
1120,26-09-2015,pastry,1,31.10
2676,15-08-2015,rolls/buns,9,46.60
2507,25-08-2015,root vegetables,6,54.75
4620,11-03-2015,sausage,3,87.45
1061,05-09-2015,whole milk,3,14.25
3276,03-04-2015,whole milk,8,31.25
3023,28-07-2015,rolls/buns,6,78.25
3552,16-06-2015,rolls/buns,8,53.60
1967,20-01-2015,other vegetables,4,82.10
4708,20-03-2015,sausage,6,95.20
2874,15-02-2015,sausage,2,23.20
1663,07-02-2015,rolls/buns,4,10.60
2632,02-03-2015,whole milk,8,33.75
2270,01-07-2015,sausage,7,96.45
4829,03-11-2015,tropical fruit,9,13.45
4766,29-09-2015,whole milk,8,3.50
3860,05-05-2015,whole milk,3,76.10
1587,01-07-2015,other vegetables,2,50.10
4038,08-07-2015,citrus fruit,8,91.45
3894,13-12-2015,root vegetables,2,29.25
1456,18-09-2015,root vegetables,7,29.25
2505,30-11-2015,bottled water,5,53.75
4851,20-12-2015,sausage,6,37.75
1202,22-07-2015,soda,3,64.10
4155,26-01-2015,citrus fruit,9,85.75
2560,17-05-2015,sausage,6,75.45
2555,23-12-2015,whole milk,0,44.50
3645,12-12-2015,citrus fruit,6,94.50
3886,11-09-2015,soda,5,33.60
2932,20-03-2015,sausage,1,81.20
4291,08-12-2015,sausage,0,43.99
1143,25-04-2015,soda,4,93.25
4564,08-07-2015,rolls/buns,8,35.20
4931,04-05-2015,whole milk,1,90.50
4581,03-04-2015,tropical fruit,6,88.10
2990,23-05-2015,whole milk,5,36.20
4555,07-11-2015,citrus fruit,2,87.45
3635,04-09-2015,tropical fruit,0,71.20
1306,23-06-2015,whole milk,6,91.45
4591,15-05-2015,pastry,3,17.45
3169,14-06-2015,other vegetables,8,72.45
1971,18-09-2015,sausage,4,44.45
2489,04-05-2015,whole milk,1,44.99
1279,06-09-2015,tropical fruit,4,99.60
2581,22-08-2015,soda,9,68.25
2295,25-02-2015,rolls/buns,2,86.99
3987,19-08-2015,other vegetables,6,13.20
4106,25-08-2015,whole milk,1,39.50
4338,24-06-2015,whole milk,7,87.50
4166,06-11-2015,citrus fruit,4,93.50
4747,08-06-2015,other vegetables,1,70.60
3028,09-06-2015,sausage,9,35.75
2851,16-03-2015,rolls/buns,1,17.45
3822,07-03-2015,root vegetables,5,92.60
4554,27-08-2015,whole milk,8,43.99
3361,05-03-2015,tropical fruit,4,45.99
2614,25-06-2015,whole milk,0,100.20
3567,04-10-2015,tropical fruit,1,55.45
1514,24-08-2015,whole milk,5,16.10
1313,25-12-2015,other vegetables,2,30.10
2359,09-04-2015,other vegetables,9,25.60
1152,05-03-2015,whole milk,4,90.20
4559,16-03-2015,whole milk,2,55.75
1709,22-04-2015,sausage,5,42.25
2219,17-04-2015,other vegetables,8,60.25
1752,06-04-2015,other vegetables,6,58.75
3942,10-11-2015,other vegetables,7,0.50
3296,17-08-2015,soda,7,23.60
2001,21-08-2015,rolls/buns,2,39.75
2764,24-07-2015,other vegetables,7,53.60
3390,14-11-2015,soda,3,86.50
2760,07-01-2015,sausage,2,2.50
3768,07-10-2015,whole milk,8,17.60
1232,21-01-2015,rolls/buns,0,67.75
1107,01-10-2015,citrus fruit,2,19.60
2958,14-06-2015,rolls/buns,0,75.45
2943,20-06-2015,sausage,5,90.25
2270,11-08-2015,whole milk,9,71.10
3812,21-07-2015,sausage,9,18.45
1344,04-09-2015,bottled water,4,88.20
4487,10-07-2015,sausage,4,62.60
2443,15-11-2015,sausage,1,80.20
1674,04-12-2015,sausage,2,100.25
4509,29-11-2015,tropical fruit,8,21.45
4891,05-09-2015,whole milk,6,98.10
3962,20-09-2015,sausage,2,80.25
2808,05-05-2015,root vegetables,1,35.50
1085,15-08-2015,root vegetables,6,14.75
3808,18-08-2015,whole milk,6,28.45
4149,07-01-2015,citrus fruit,9,46.25
2331,05-06-2015,citrus fruit,0,64.45
4475,03-04-2015,other vegetables,1,70.99
2761,25-04-2015,citrus fruit,9,66.10
2620,14-12-2015,sausage,0,84.10
4387,08-05-2015,whole milk,1,65.75
1555,27-03-2015,rolls/buns,6,51.10
1181,16-11-2015,sausage,1,60.45
4667,12-01-2015,root vegetables,9,25.60
2235,25-10-2015,soda,1,49.20
2353,02-05-2015,soda,1,3.60
3449,08-03-2015,sausage,8,18.25
1058,10-11-2015,root vegetables,1,38.75
1649,30-06-2015,bottled water,8,40.10
2818,07-11-2015,tropical fruit,9,27.10
3332,31-01-2015,root vegetables,0,66.99
